fixture	nupic_dssim	tinypng_dssim
s020_gradient_1779x874.png	0.000030	0.000088
s021_gradient_1369x1631.png	0.000000	0.000000
s022_gradient_1285x532.png	0.000019	0.000037
s023_gradient_995x1142.png	0.000016	0.000164
s024_gradient_818x1299.png	0.000022	0.000000
s025_noise_400x300.png	0.000140	0.000212
s026_noise_500x380.png	0.000256	0.000457
s027_noise_600x460.png	0.000426	0.000749
s028_noise_700x540.png	0.000632	0.001101
s029_noise_800x620.png	0.001346	0.001488
s030_noise_900x700.png	0.001749	0.001920
s031_noise_1000x780.png	0.002218	0.002315
s032_noise_1100x860.png	0.002724	0.002729
s033_noise_1200x940.png	0.003145	0.003039
s034_noise_1300x1020.png	0.003622	0.003223
s035_noise_1400x1100.png	0.003931	0.003360
s036_noise_1500x1180.png	0.004274	0.003411
s037_noise_1600x1260.png	0.004423	0.003393
s038_noise_1700x1340.png	0.004539	0.003326
s039_noise_1800x1420.png	0.004480	0.003319
s040_stripes_p2.png	0.000000	0.000000
s041_stripes_p5.png	0.000000	0.000000
s042_stripes_p8.png	0.000000	0.000000
s043_stripes_p11.png	0.000000	0.000000
s044_stripes_p14.png	0.000000	0.000000
s045_stripes_p17.png	0.000000	0.000000
s046_stripes_p20.png	0.000000	0.000000
s047_stripes_p23.png	0.000000	0.000000
s048_stripes_p26.png	0.000000	0.000000
s049_stripes_p29.png	0.000000	0.000000
s050_stripes_p32.png	0.000000	0.000000
s051_stripes_p35.png	0.000000	0.000000
s052_stripes_p38.png	0.000000	0.000000
s053_stripes_p41.png	0.000000	0.000000
s054_stripes_p44.png	0.000000	0.000000
s055_solid.png	0.000000	0.000000
s056_solid.png	0.000000	0.000000
s057_solid.png	0.000000	0.000000
s058_solid.png	0.000000	0.000000
s059_solid.png	0.000000	0.000000
s060_solid.png	0.000000	0.000000
s061_solid.png	0.000000	0.000000
s062_solid.png	0.000000	0.000000
s063_solid.png	0.000000	0.000000
s064_solid.png	0.000000	0.000000
s065_text.png	0.000006	0.000009
s066_text.png	0.000005	0.000008
s067_text.png	0.000005	0.000008
s068_text.png	0.000005	0.000007
s069_text.png	0.000006	0.000009
s070_text.png	0.000006	0.000008
s071_text.png	0.000006	0.000008
s072_text.png	0.000006	0.000008
s073_text.png	0.000005	0.000007
s074_text.png	0.000006	0.000007
s075_text.png	0.000005	0.000007
s076_text.png	0.000007	0.000008
s077_text.png	0.000006	0.000007
s078_text.png	0.000006	0.000008
s079_text.png	0.000005	0.000008
s080_chart.png	0.000000	0.000000
s081_chart.png	0.000000	0.000000
s082_chart.png	0.000000	0.000000
s083_chart.png	0.000000	0.000000
s084_chart.png	0.000000	0.000000
s085_trans_circle.png	0.000000	0.000000
s086_trans_circle.png	0.000000	0.000000
s087_trans_circle.png	0.000000	0.000000
s088_trans_circle.png	0.000000	0.000000
s089_trans_circle.png	0.000000	0.000000
s090_trans_circle.png	0.000000	0.000000
s091_trans_circle.png	0.000000	0.000000
s092_trans_circle.png	0.000000	0.000000
s093_trans_circle.png	0.000000	0.000000
s094_trans_circle.png	0.000000	0.000000
s095_sprites.png	0.000000	0.000000
s096_sprites.png	0.000000	0.000000
s097_sprites.png	0.000000	0.000000
s098_sprites.png	0.000000	0.000000
s099_sprites.png	0.000000	0.000000
wm00_!-tylewice-wiatrak-windmill-abri-20.png	0.001048	0.000916
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_.png	0.001463	0.002061
wm02_"1930"_Pur_Sang_Type_35_Replica_in_.png	0.000526	0.007703
wm03_"A_Justiça"_sculpture_(Leopoldo_de_.png	0.000870	0.001447
wm04_"A_Justiça"_sculpture_(Leopoldo_de_.png	0.001096	0.001122
wm05_"Access_to_Justice"_by_John_Atkin_(.png	0.002759	0.002778
wm06_"Access_to_Justice"_by_John_Atkin_(.png	0.001751	0.001824
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi.png	0.003054	0.001865
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg.png	0.001182	0.001399
wm09_"Alter_Stern"_in_Siegershausen.jpg.png	0.000868	0.001062
wm10_Birds-1310600,_Wainuiomata,_Welling.png	0.002807	0.002417
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	0.001670	0.002968
wm12_Little_Egret-1000534,_Dingle_Penins.png	0.002542	0.002847
wm13_Little_Egret-1000590,_Dingle_Penins.png	0.001915	0.001866
wm14_Little_Egret-1000593,_Dingle_Penins.png	0.002516	0.002288
wm_0_Cat03.png	0.001394	0.001258
