fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
s012_gradient_2267x2091.png	23623	9780	23623	0.4140
s013_gradient_738x576.png	3262	2292	3262	0.7026
s014_gradient_1019x1768.png	380448	75762	126419	0.5993
s015_gradient_1880x2181.png	21275	9418	21275	0.4427
s016_gradient_1081x1662.png	11828	5414	9687	0.5589
s017_gradient_1023x1665.png	148324	60623	86722	0.6990
s018_gradient_1722x675.png	6281	2967	6281	0.4724
s019_gradient_2029x1022.png	10584	4327	10584	0.4088
s020_gradient_1779x874.png	229589	62486	105710	0.5911
s021_gradient_1369x1631.png	12595	6225	12595	0.4942
s022_gradient_1285x532.png	4228	2516	2571	0.9786
s023_gradient_995x1142.png	129625	43671	72311	0.6039
s024_gradient_818x1299.png	7425	4192	7425	0.5646
s025_noise_400x300.png	313421	115197	119618	0.9630
s026_noise_500x380.png	536002	188341	188431	0.9995
s027_noise_600x460.png	821933	273738	273000	1.0027
s028_noise_700x540.png	1169431	374819	373261	1.0042
s029_noise_800x620.png	1583840	443549	489387	0.9063
s030_noise_900x700.png	2059877	562641	621758	0.9049
s031_noise_1000x780.png	2590990	697621	770535	0.9054
s032_noise_1100x860.png	3173207	847065	935786	0.9052
s033_noise_1200x940.png	3806380	1010932	1118644	0.9037
s034_noise_1300x1020.png	4494528	1188122	1317528	0.9018
s035_noise_1400x1100.png	5237503	1381717	1532886	0.9014
s036_noise_1500x1180.png	6032629	1590795	1764860	0.9014
s037_noise_1600x1260.png	6876569	1812035	2014224	0.8996
s038_noise_1700x1340.png	7767718	2048487	2279270	0.8987
s039_noise_1800x1420.png	8703760	2298440	2558581	0.8983
s040_stripes_p2.png	2127	197	197	1.0000
s041_stripes_p5.png	2125	203	203	1.0000
s042_stripes_p8.png	2125	195	195	1.0000
s043_stripes_p11.png	2130	209	209	1.0000
s044_stripes_p14.png	2129	204	203	1.0049
s045_stripes_p17.png	2127	213	213	1.0000
s046_stripes_p20.png	2128	199	199	1.0000
s047_stripes_p23.png	2130	215	215	1.0000
s048_stripes_p26.png	2128	207	207	1.0000
s049_stripes_p29.png	2124	219	219	1.0000
s050_stripes_p32.png	2128	147	200	0.7350
s051_stripes_p35.png	2123	221	220	1.0045
s052_stripes_p38.png	2125	209	209	1.0000
s053_stripes_p41.png	2122	219	219	1.0000
s054_stripes_p44.png	2127	203	203	1.0000
s055_solid.png	469	98	98	1.0000
s056_solid.png	611	99	100	0.9900
s057_solid.png	777	103	103	1.0000
s058_solid.png	902	105	105	1.0000
s059_solid.png	1037	108	108	1.0000
s060_solid.png	1216	111	111	1.0000
s061_solid.png	1414	115	115	1.0000
s062_solid.png	1668	119	119	1.0000
s063_solid.png	1848	122	122	1.0000
s064_solid.png	1981	128	128	1.0000
s065_text.png	67538	4205	3811	1.1034
s066_text.png	61320	4027	3673	1.0964
s067_text.png	66520	4103	3795	1.0812
s068_text.png	68309	4216	3836	1.0991
s069_text.png	63440	4075	3714	1.0972
s070_text.png	66829	4151	3776	1.0993
